PARTICIPANT,A person who is actively involved and included in something
PASSENGER,A person who is traveling in a vehicle
NARROW,Long but not wide; a small distance from one side to the other compared to length
NEGATIVE,"Being harmful, unwanted, or unhelpful"
NEITHER,Not one or the other; not either; none of two things
NET,Material made of string tied together and used to catch fish or other small animals
NEVERTHELESS,Despite what has just been done or said; nonetheless
MUSICIAN,"A person who writes, sings, or plays music, as a job"
NOISE,A loud or unpleasant sound
NONE,Not one of a group; not at all or in no way
OPPONENT,A person that you are competing against in a game or contest
OCCASION,Particular time when something important or special happens
ODD,Being strange or different from what is usual or expected
PLATE,A flat dish used for eating or serving food
SNAP,To break something long and thin
ONTO,Movement towards a position that is on something
PLOT,"A plan to do something, often in secret and bad"
OPPOSE,"To be against someone in a contest, game, or fight; to disagree"
PRODUCER,A company making or growing a certain product
ORGANIZE,"To arrange and plan things (e.g., a party)"
PHENOMENON,A fact that can be observed and studied
ORIGINAL,"Being first made, thought, or performed; fresh"
STAY,To spend time visiting a place or someone's home
PACKAGE,Box or container in which items are placed for mailing
PAIR,"Two of the same thing (e.g., socks)"
SHADOW,A dark shape that appears when something stops the light
SUBJECT,"The person, or thing that is being talked, or written about"
SINGER,"A person who sings, often as a profession"
SUCH,"So like, or similar"
STATISTIC,A number that represents a piece of information
SUBSTANCE,A particular type of material
SUMMARY,A brief statement that gives the most important information
PERMIT,To allow someone to do something or for something to happen
PROTEIN,"A substance found in some foods, such as meat, that is needed by the body to stay healthy"
TEENAGER,A person between the ages of 13 and 19
PHOTOGRAPH,A picture made with a camera that shows how things look in real life
THROAT,Passage inside the neck used to swallow and breathe
TOURISM,"Traveling to new places (e.g., abroad, for vacations)"
PLENTY,A large  amount of something; a lot; not too little
TOWER,"A tall, narrow building"
TRANSITION,A gradual change from one condition to another
POPULATION,"Number of people who live in a country, area, etc."
TRAP,A device used for catching animals
PRACTICAL,"Relating to what is sensible, real, or useful rather than with ideas or theories"
PRESENCE,Fact that someone or something is in a particular place
PRESIDENT,"Person in charge of a country, company, or organization"
PRINCIPAL,1. most important; main; 2.  the person in charge of a (us) public school
PRINCIPLE,Strong belief that influences a person's actions; basic law or belief
PRINT,"To make many copies of a page, magazine, or book"
PRISON,A place where people who have committed serious crimes are held
TURN,"To change the direction of something (e.g., a car)"
PROFESSIONAL,"About a job such as a doctor, lawyer, accountant, etc."
PROPERTY,"Things, buildings, or pieces of land owned by someone"
VEGETABLE,A plant that is raised and eaten as food
ROW,A straight line of people or things; one after another
PROVISION,1. supplies that are needed or wanted; something that is supplied; 2. part of a law or an agreement
SHEET,"A large piece of fabric or material that is used to cover something, often a bed"
RACE,"Contest between people, animals, or vehicles, to determine which is the fastest"
RANK,To place someone or something in higher or lower position relative to others
READY,Prepared to do something
RECOMMENDATION,Suggestion about someone or something being a good choice
WATER,"Clear liquid that forms the seas, rivers, and rain"
REFLECT,"To bounce back off a surface (e.g., light)"
REGION,"Part of a country, of the world, area, etc."
SHIRT,A light piece of clothing with sleeves for the upper body
RELATION,"Manner in which people, groups, or countries behave toward one another"
RELAX,To stop feeling nervous or worried; to rest and do something enjoyable
RELEASE,"To allow to leave jail, cage, prison, etc."
RELEVANT,Direct related to a subject in a considerable way
WHICH,Question word to ask about a person's choice
RELY,Able to depend on
VOTER,A person who can vote in an election
REPRESENT,To stand in the place or to act the part of
WITNESS,A person who sees something happen
WOULD,"Modal verb used to indicate possibility, request, etc."
RING,"To produce a sound from a bell, alarm, or telephone; a piece of jewelry worn on a finger"
WRITE,To make letters and words on paper or a screen
JOINT,1. (n.) place where two things meet; 2. (adj.) done together
RESERVE,1. (v) to arrange to use a room or table at a particular time; 2. (n) a store of something
PUPIL,1. a child or young person who is being taught; a student; 2. the black round part in the center of the eye that lets in light
SAMPLE,"To try something to see if you like it (e.g., food)"
SCIENTIST,"A person who is trained to gain knowledge by making predictions, testing them, and developing theories"
SEAT,Something on which a person can sit
SECRET,Something that you don't want others to know; private
SECRETARY,An employee who does general office work for another person in the office
SECURITY,"Things done to protect people, buildings, a country, etc., from harm"
SERIOUSLY,In a serious way; in a way that shows something is important
SESSION,Period of time for doing a particular activity
PITCH,1. the level of a sound; 2. a throw of a ball; 3. a speech to sell something; 4. black substance that is sticky when hot and hard when dry
SECOND,2nd; the one following first
HOUR,60 minutes; one of 24 equal units of time in a day
FAULT,A bad quality or part of someone or something; responsibility for a mistake or bad situation
SHOE,Outer covering worn on the foot to protect it usually sold in pairs
SHOT,"The act of firing a gun, or kicking or throwing a ball at a goal"
GOD,A being with special powers that cannot be explained by nature
SIGHT,The ability to see
SIGN,"Something such as a mark or event that shows that something exists, is true, is happening or will happen"
SIGNAL,"An action, change, or process that gives information about something"
MUSCLE,A body tissue that can become longer or shorter and moves the body
ENTERPRISE,A business or organization
SITE,"Present, former, or future location of something, such as a building"
SKIN,Outer layer of an animal's or human's body
COMPANY,A business that sells things or provides services
SLOWLY,Done in a way that takes a long time
SMILE,To show happiness by pulling up the corners of your mouth
SYMPTOM,A change in someone or something that shows they have an illness or problem
REVOLUTION,"A change in the way a country is governed, usually by violence or war; a complete change"
AMENDMENT,"A change, addition, or improvement to something"
CARBON,A chemical element (c) found in all living things
SQUARE,Shape with four sides of equal length sides and four right (90°) angles
COUSIN,A child of your uncle or aunt
INSIGHT,A clear idea about how something works
ORANGE,A color that is a mixture of red and yellow
TOURNAMENT,A competition made up of a series of games between many competitors
BIN,A container for storing things
STOCK,Piece of a business bought in the form of shares
STRONGLY,In a strong manner; in a very serious way
STRUCTURE,"Way something is built, arranged, or organized"
STUDIO,"The building or room where art is made, such as paintings, movies, or music"
STYLE,The particular way something is done or made
EMOTION,"A feeling such as sadness, anger, or love"
MOTHER,A female who has a child or children
SUCCEED,To finally achieve something that you were trying to achieve
SLICE,A flat piece of food that has been cut from a bigger piece
DISK,A flat round object
RESOLUTION,A formal agreement or statement decided by a group of people
SUSPECT,to think that someone may have committed a crime or done something wrong
SWITCH,To change from one thing to another; a thing you move to change from one thing to another
NEGOTIATION,A formal discussion to reach an agreement
WELFARE,A government program to help poor people
TASTE,The particular quality of food or drink that can be sensed by a person's mouth
TEAR,1. (v) to damage something by pulling it apart; 2. (n) drop of salty water from the eye
TECHNOLOGY,"Use or knowledge of science in industry, engineering, etc."
FAMILY,A group of people who are related through blood
TELEVISION,"Device that broadcasts programs, movies, or show"
TEMPERATURE,"A measure of how hot or cold something is (e.g., the weather)"
THEORY,Idea or set of ideas that try to explain facts or events
SPECIES,A group of related animals or plant
DOZEN,A group of twelve people or things
TIE,To join together two ends of string or rope; to join two or more things together with string or rope
PHRASE,A group of words that forms a unit and expresses a single meaning
TOOL,"Device used to make things (e.g., a hammer or driver)"
TOUCH,"To feel an object with your fingers, etc."
GESTURE,A hand or body movement that expresses a particular idea or feeling
CITY,A heavily populated area with many buildings and roads
TRADITION,"Way of thinking, and behaving that was used for a long time"
BELL,A hollow metal object shaped like a cup that rings when it is hit
DISORDER,A lack of organization
TROOP,Group of soldiers; an organized group
TRUE,Agreeing with the facts; not false; real or actual
CHICKEN,A large bird that is raised on farms for its eggs and meat
UNION,Organization of people or groups who have a similar interest or particular goal
USER,"Person that uses a service or thing (e.g., a website)"
VARIETY,Particular types of things or persons
CONVENTION,"A large meeting of the members of a profession, organization, or who have the same interests"
VICTIM,"Person who has suffered from a crime, bad situation, or event"
VIOLENCE,Use of physical force to harm someone or damage something
LOT,"A large quantity, or number taken together"
TRUCK,A large road vehicle used to carry things
WAKE,To stop sleeping; to make someone stop sleeping
MAIL,"A letter, package, or email"
WEAR,"To have clothes, glasses, shoes, etc., on your body"
WEATHER,"Whether it is raining, sunny, cold, etc., outside"
WED,To marry; to get married
WEST,The direction where the sun sets; opposite of east
AGENDA,A list of subjects that people will discuss at a meeting
GAZE,A long continuous look at someone or something
FAR,A long way away
COUNTER,"A long, flat surface in a shop or kitchen where work is done"
PASSAGE,"A long, narrow area that connects one place to another"
WOOD,Hard material that trees are made of and is used for building and fuel
HEAVILY,A lot or to a great degree
MUCH,A lot; large amount; a high degree of
WRITER,"Professional who writes books, articles, etc."
AIRCRAFT,A machine that can fly
MOTOR,A machine that uses energy to make something work or move
ABILITY,"Power, money, knowledge, or skill to do something"
CLOUD,"A mass of water vapor in the sky, as when it is going to rain"
LEATHER,A material made from the skin of an animal
INCH,A measure of length; 1/12 of a foot (2.54 centimeters)
ABOVE,In a higher place than something else
ABORTION,A medical operation to end the time when a female is going to have a baby
MOTION,A movement; the way something moves
WEB,A net made by spiders; many things connected together
ABSOLUTELY,Completely; totally; very
MINORITY,A part of a group that is less than half of the whole; a small part
MECHANISM,A part or a set of parts of a machine that has a particular function
ACCEPT,To agree to receive or take something offered
EDITION,A particular version of something that is sold to the public
ACCESS,An entrance to a place; a way in
TRAIL,"A path through the countryside, often where people walk"
CIRCLE,A perfectly round shape or a group arranged in that shape
ACCORD,Agreement or harmony
ACCOUNT,Arrangement with a bank to keep your money for you
DAY,A period of 24 hours
ERA,A period of time in history that is special for a particular reason
ACHIEVE,"To succeed in doing something good, usually by working hard"
CHAIRMAN,A person in charge of a meeting
MANUFACTURER,A person or company that makes a product
ACQUIRE,To get or earn something by thinking or working
SERVER,A person or thing that brings things to you when asked to
PILOT,"A person who controls an airplane, spacecraft, or boat"
ACT,To behave in a certain way
ACTION,Something that a person or thing does
ACTIVE,Moving around a lot or doing many things
ACTOR,"Person who acts in the theater, movies, or tv"
ACTUAL,"Real or existing in fact, not imagined; real"
LOVER,A person who likes someone or something very strongly
AD,Public notice or advertisement
REFUGEE,A person who ran away from his or her country because of war
ADDITION,Fact of adding something; thing that is added
ADDITIONAL,Further or added
ADDRESS,Exact street location of a place
SCHOLAR,A person who studies and knows a lot about a particular subject
RESEARCHER,A person who studies something carefully to learn new information
TERRORIST,A person who uses fear or violence for a political purpose
ADMIT,"To agree that you did something bad, or that something bad is true"
ADOPT,To take on responsibility for something
ADULT,Person or animal that is fully grown
ADVANCE,To move forward in a certain direction
ADVANTAGE,Thing making the chance of success higher
SERVANT,A person who works in another person's house and takes care of them
ADVERTISE,"To show how good a product is, to make people buy"
ADVICE,Suggestion about what someone should do
CRITIC,"A person whose job is to give opinions about books, movies, or other forms of art"
RIVAL,"A person, team, or organization that competes with another; a competitor"
AFFAIR,"Event or a set of events, often unpleasant ones"
AFFECT,To do something that changes something else
AFFORD,To have enough money to pay for something
AFRAID,Worried that something bad will happen; scared
ADVERTISEMENT,"A picture, short film, text, etc., that tells people about a product or service"
AFTERNOON,Time after 12:00 and before the evening meal
LOG,A piece of a tree that has been cut
DRAFT,A piece of writing or plan that is not yet finished
DRAMA,A piece of writing that tells a story about a serious subject or an exciting event
AGENCY,Business that provides some service for others
LABORATORY,A place for doing research and experiments
AGENT,Person who can represent and decide for others
PUB,A place that sells alcohol and food
SHELTER,A place to live or stay that protects someone from weather
AGREE,To have the same opinion as someone else
AGREEMENT,When you share the same opinion or reach a decision
RESORT,A place where people go on holiday
AHEAD,In or toward the front
AID,To provide things useful or needed by others
AIM,Act of pointing something at a target
AIR,Mixture of gases around the earth that we breathe 
END,A point that marks the limit of something; finish
ELDERLY,"A polite word for 'old', used to describe people"
PLATFORM,A raised area for people to stand on
PANEL,"A rectangular piece of wood, metal, etc., that is a part of something bigger; a group of people who discuss something"
ROSE,A red flower used to show love
CHAMBER,A room or space inside something used for a special purpose
RESTRICTION,A rule or law that limits what people can do
STORAGE,A safe place to keep something until it is needed
CLAUSE,"A separate part of a contract, a will, or another legal document"
UNIFORM,A set of clothes that show you are part of a group or school
WEBSITE,A set of internet pages that give information about a particular person or organization
ALONE,Without anyone or anything else
DISH,A shallow container for cooking or serving food
COOPERATION,A situation where everyone works together to get something done
CAT,A small animal of the lion and tiger family with four legs and a tail that is kept as a pet
ADJUSTMENT,A small change to make something function better
SEED,A small object made by a plant from which a new plant can grow; the beginning of something
CIGARETTE,A small paper tube filled with tobacco
ALTERNATIVE,Other choices
TIP,A small piece of advice; the end of something
CHIP,A small piece that was broken or taken off something
COIN,"A small, flat piece of metal used as money"
AMAZE,To cause wonder; to surprise completely
GAP,A space between two things
MAGIC,A special power that allows impossible things to happen
AMOUNT,Quantity of something
ANALYSIS,Careful study to better understand something
MISSION,A special task or job that is given to a person or group
AREA,A specific section or space; part of a region
PREMISE,A statement or idea that is accepted as being true and is used for developing other ideas and actions
EQUATION,A statement showing things to be equal
FAITH,A strong belief that someone or something is honest and good
ANIMAL,A living creature that is not a plant or person
ANNOUNCE,"To make a public statement about a plan, decision"
CASTLE,A strong building used in the past to protect people in times of war
ANNUAL,"Happening once a year, or every year"
BIAS,A strong feeling not based on facts to believe one thing over another
STAKE,A strong stick with a pointed end that you push into the ground
FOOL,A stupid or silly person
EMERGENCY,A sudden serious event needing immediate action
CHOCOLATE,A sweet brown food made from cocoa beans
DEMOCRACY,A system of government in which the people of a country can vote to elect who will govern them
ANYBODY,Any person; anyone
COLUMN,A tall post made of stone or wood used as a support in a building; one of two or more blocks of print that appear next to each other on a page
ANYONE,Any person
PROFESSOR,A teacher of high rank in a university or college
ANYWAY,A word people use to change the topic of a conversation
APART,Separated by an amount of time or space
TOY,A thing that children play with
IT,A thing that has been previously mentioned
ABSENCE,A time when you are not in a place where you should be
APPARENTLY,According to what you heard; from what can be seen
APPEAL,To request a judge or others change a decision
APPEAR,"To be seen, become visible; come into sight"
PORT,A town or an area of a town next to water where ships arrive and leave from
APPRECIATE,To be thankful for; to value or admire
APPROACH,To get close to reaching something or somewhere
APPROPRIATE,Right or suitable for some situation or purpose
METAL,"A type of hardy material that is usually hard and shiny that can be used to make things, such as iron, gold, or steel"
APPROVE,To have a positive opinion of someone or something
CAR,A vehicle with four wheels and engine that can carry things
BIKE,A vehicle with two wheels that a person can ride
PLASTIC,"A very common, light, strong material that can be formed into many different shapes and is made by a chemical process"
ARGUE,To give reasons for or against an idea or point of view
VIRUS,"A very small, basic living thing that causes disease or sickness"
ARM,Part of your body from your shoulder to your hand
ARMY,Large group of soldiers organized to fight in wars
CHILD,"A very young person, between about 2 and 15"
ARREST,To use the law to catch and keep people who committed crimes
ARRIVE,To reach the place you are travelling to
ARTICLE,Piece of writing about a particular subject
ARTIST,"A person who is skilled and creative in art, such as a painter"
LOGIC,A way of thinking by using facts and reasoning
BLOG,A website with regularly updated short articles and opinions about a particular topic 
VICTORY,"A win in a war, game, or competition"
ASSESS,To judge something's value or suitability
FENCE,A wooden or metal structure that separates an area
NOUN,"A word that refers to a person, place, thing, quality, idea, or action"
POEM,"A written composition in verse, not prose"
ASSOCIATION,Organization of people with the same interest
ASSUME,"To believe, based on the evidence; suppose"
INDEX,A written or printed list of topics or words in a particular order
JOURNAL,A written record of subjects or events
CHEESE,A yellow or white food made from milk
INITIATIVE,Ability to decide or act upon things yourself without depending on someone else
VISION,Ability to see things with your eyes
CAPABLE,Able to do something; can do
ATTACK,"To try to destroy, beat, or injure"
ATTEMPT,To try to do something challenging or difficult
ATTEND,To be present at an event
MOBILE,Able to move from one place to another
ATTENTION,Focus of your thoughts on something
ATTRACT,To make someone notice and become interested in
EFFICIENT,Able to work well without waste
OVER,Above; across; more than; on the other side
SUITABLE,Acceptable or right for someone or something
RECOGNITION,Accepting that something is true or that it exists
LUCK,"Accidental way things happen, often good things"
AVAILABLE,Present and able to be used
AVERAGE,Typical or normal; usual; ordinary
AVOID,"To prevent from happening, or stay away from"
AWARD,To give a prize for doing something well
AWARE,Knowing or feeling that something exists
REPORT,Account of something which gives the necessary facts and information
PARTICIPATION,Act of being involved in something
SURVIVAL,Act of continuing to exist when facing difficulty
BABY,"Very young child, who cannot yet speak"
BACKGROUND,"Images, color, or information behind the main one"
LIMITATION,Act of controlling or reducing the size of something
OPPOSITION,Act of disagreeing or trying to stop something
BAG,Soft container to put things in and carry with you
BALANCE,To make two or more things equal
BALL,Small round object often used in a game or sport
EXPANSION,Act of expanding or becoming bigger
BANK,A financial institution that keeps or lends money
ACQUISITION,Act of getting something
PRESENTATION,Act of giving a formal talk about something
ASSISTANCE,Act of helping someone
BASIC,At the most important or easiest (beginner) level
BASIS,"Starting situation, fact, idea to develop from"
ANNOUNCEMENT,Act of informing people about something publicly
BATTLE,Military fight between armies
CREATION,Act of making something
BEACH,"Large area of sand, next to an area of water"
BEAR,Large brown animal with fur that lives in forests
BEAT,To win against another person or team; defeat
BEAUTIFUL,Having very attractive or appealing physical qualities
REGISTRATION,Act of recording information on an official list
DEVELOPMENT,Act or process of growing bigger or more advanced
